Grid	Lat/Long hddd.ddddd°
Datum	South American '69

Header	Name	Start Time	Elapsed Time	Length	Average Speed	Link

Track	Track actual: 08 JUL 2018 18:01	08-07-2018 18:01:34 (UTC-4)	13:50:30	1.2 km	0.1 kph	

Header	Position	Time	Altitude	Depth	Temperature	Leg Length	Leg Time	Leg Speed	Leg Course
Trackpoint	S34.97726 W71.25653	08-07-2018 18:19:16 (UTC-4)	199 m			0 m	0:00:06	0.1 kph	52° true
Trackpoint	S34.97726 W71.25652	08-07-2018 18:19:22 (UTC-4)	199 m			0 m	0:00:06	0.1 kph	90° true
Trackpoint	S34.97726 W71.25652	08-07-2018 18:19:28 (UTC-4)	199 m			0 m	0:00:06	0.1 kph	123° true
Trackpoint	S34.97726 W71.25652	08-07-2018 18:19:34 (UTC-4)	199 m			0 m	0:00:06	0.0 kph	167° true
Trackpoint	S34.97726 W71.25653	08-07-2018 18:19:40 (UTC-4)	199 m			0 m	0:00:06	0.2 kph	267° true
Trackpoint	S34.97726 W71.25653	08-07-2018 18:19:46 (UTC-4)	199 m			1 m	0:00:06	0.3 kph	288° true
Trackpoint	S34.97725 W71.25654	08-07-2018 18:19:52 (UTC-4)	199 m			1 m	0:00:06	0.3 kph	298° true
Trackpoint	S34.97725 W71.25654	08-07-2018 18:19:58 (UTC-4)	199 m			1 m	0:00:06	0.3 kph	307° true
Trackpoint	S34.97725 W71.25654	08-07-2018 18:20:04 (UTC-4)	199 m			0 m	0:00:06	0.2 kph	326° true
Trackpoint	S34.97725 W71.25654	08-07-2018 18:20:10 (UTC-4)	199 m			0 m	0:00:06	0.1 kph	358° true
Trackpoint	S34.97725 W71.25654	08-07-2018 18:20:16 (UTC-4)	199 m			0 m	0:00:06	0.1 kph	39° true
Trackpoint	S34.97724 W71.25654	08-07-2018 18:20:22 (UTC-4)	199 m			0 m	0:00:06	0.1 kph	22° true
Trackpoint	S34.97724 W71.25654	08-07-2018 18:20:28 (UTC-4)	199 m			0 m	0:00:06	0.1 kph	350° true
Trackpoint	S34.97724 W71.25654	08-07-2018 18:20:34 (UTC-4)	199 m			0 m	0:00:06	0.1 kph	326° true
Trackpoint	S34.97724 W71.25654	08-07-2018 18:20:40 (UTC-4)	199 m			0 m	0:00:06	0.1 kph	318° true
Trackpoint	S34.97724 W71.25654	08-07-2018 18:20:46 (UTC-4)	199 m			0 m	0:00:06	0.1 kph	356° true
Trackpoint	S34.97724 W71.25654	08-07-2018 18:20:52 (UTC-4)	199 m			0 m	0:00:06	0 kph	0° true
Trackpoint	S34.97724 W71.25654	08-07-2018 18:20:58 (UTC-4)	199 m			0 m	0:00:06	0.0 kph	331° true
Trackpoint	S34.97724 W71.25654	08-07-2018 18:21:04 (UTC-4)	199 m			0 m	0:00:06	0.1 kph	76° true
Trackpoint	S34.97724 W71.25654	08-07-2018 18:21:10 (UTC-4)	199 m			0 m	0:00:06	0.0 kph	44° true
